Country,RMSE,MAE,MAPE,R²,AIC,BIC
Iran (Islamic Republic of),0.006670657301498438,0.005358183799798307,0.6869637084975592,-1.5353322940321896,-192.5196607509239,-188.8630332763193
Iraq,0.013088631895480424,0.011690117526253279,1.7408326984224831,-3.841004590469418,-137.09202743870634,-133.43539996410175
Ireland,0.0017472973224267863,0.001555279933473232,0.16556928038966584,0.9339808699404093,-171.6948763783222,-168.0382489037176
Israel,0.004430157793685269,0.0038895634796825484,0.427483694859689,-0.3356786191257841,-208.80333108674463,-205.14670361214004
Italy,0.014005573102809863,0.012746782294039583,1.4197249326892507,-3.9039019484537683,-223.608106164471,-219.9514786898664
Jamaica,0.003060017656719042,0.0023489499340542436,0.3324710871911242,-0.18253014152624125,-192.07029424839448,-188.41366677378988
Japan,0.002135294218764749,0.0017218639318978349,0.18751108124540267,-0.15162159089596683,-225.24052014693146,-221.58389267232687
Jordan,0.008390907315106787,0.006060515422954842,0.8215401820037647,-6.309235069840914,-202.1220003249254,-198.46537285032082
Kazakhstan,0.012052835365619312,0.010489322548854723,1.3069727467209298,-9.082537078166352,-208.1419975826566,-204.485370108052
Kenya,0.006834427756211323,0.005765937840752918,0.9658251898791212,-0.4485827436637413,-206.51909577297553,-202.86246829837094
Kiribati,0.005046909292417014,0.0038782905674731145,0.6167266357329582,-0.1774465819701634,-33.64440766931652,-29.98778019471192
Korea (Democratic People's Rep. of),0.0,0.0,,,-502.5113727247467,-498.8547452501421
Korea (Republic of),0.0029123347870783564,0.0022914700718550556,0.24793490899746606,0.724766224046815,-196.7920610208352,-193.13543354623062
Kuwait,0.008534665353971065,0.007351413637799088,0.8825974216504497,-1.1119438594730302,-160.7611698378629,-157.1045423632583
Kyrgyzstan,0.00443137347562574,0.003926212926410282,0.5628156145499013,-0.7182437020419401,-190.236463695712,-186.5798362211074
Lao People's Democratic Republic,0.02749841512548584,0.023470139039143745,3.808130748110514,-77.49995526750806,-211.8463711587264,-208.18974368412182
Latvia,0.009481464679903798,0.008043245398283685,0.9219872095829782,-1.0719710495469852,-176.07962442878838,-172.4229969541838
Lebanon,0.02038505323627402,0.015074628542822504,2.056186228754297,-0.4388050718513665,-20.640212509184376,-16.983585034579775
Lesotho,0.00871007587570182,0.005960604922239122,1.1425598205907261,-4.03713504913774,-199.08213410684482,-195.42550663224023
Liberia,0.01147567547230296,0.01115449853339745,2.3056856449558842,-17.126025982402137,-50.17425724517532,-46.51762977057072
Libya,0.009322835595928239,0.008557764844526574,1.1419343973008669,-0.07709861251558348,-149.79565939152684,-146.13903191692225
Liechtenstein,0.009704908710264476,0.008213757462743967,0.8761308317837231,-1.9698052771260315,-10.415956306897368,-6.759328832292766
Lithuania,0.01524945538705478,0.014455776944057388,1.6424513412179158,-9.45389778943753,-185.68843257274446,-182.03180509813987
Luxembourg,0.024850451210683033,0.023797571267327178,2.5760132017500164,-60.754492537453665,-182.74210201027952,-179.08547453567493
Madagascar,0.009008327621660029,0.0070218855729139995,1.4380097082727505,-0.4011093588509451,-45.55708376030965,-41.90045628570505
Malawi,0.01430221402200755,0.011378274458868298,2.2348977410973916,-12.544747257613704,-158.25725733474408,-154.6006298601395
Malaysia,0.004454626817072108,0.0029717920278934224,0.37134633521563887,-1.000702271377612,-196.80767766012653,-193.15105018552194
Maldives,0.023107035327753697,0.019086423930099135,2.548824277005588,-5.090041666728299,-30.084368531101525,-26.427741056496924
Mali,0.005305787807727254,0.0047673102847189475,1.1523618962697597,-0.11423087945939359,-205.41727285025925,-201.76064537565466
Malta,0.00942376362602748,0.008080086463710627,0.8928272474027057,-0.1567141741314948,-184.50423575375999,-180.8476082791554
Marshall Islands,0.015150327983553617,0.013514311719491088,1.8691421456080648,-0.3151414245150983,-24.5969615645435,-20.940334089938897
Mauritania,0.01126594722410418,0.009394683164688214,1.7450567739170166,-2.368990669533435,-195.35802178824324,-191.70139431363864
Mauritius,0.020930716405991662,0.01647364692121808,2.0743175489273065,-16.859109462674162,-221.55521593864955,-217.89858846404496
Mexico,0.01650385464085125,0.010336667208019068,1.3583622582238397,-1.8121541682071207,-219.4607570522469,-215.8041295776423
Micronesia (Federated States of),0.004935710415675541,0.003719429641676867,0.5851832224956187,-0.6907940907407804,-26.067579478332547,-22.410952003727946
Moldova (Republic of),0.005853095925892565,0.0051634578041994195,0.6738822350174972,-0.3559595023968529,-163.7404040098634,-160.0837765352588
Monaco,0.0,0.0,,,-502.5113727247467,-498.8547452501421
Mongolia,0.010840403773495405,0.008128085023358378,1.101318435869277,-1.407275645755956,-191.50187429889326,-187.84524682428867
Montenegro,0.01020497708460199,0.00891242844784444,1.0616953835737617,-2.122972036453688,-17.958615447478493,-14.301987972873892
Morocco,0.014231690494055423,0.012126264959036934,1.7677687449843136,-0.717043200970733,-214.75067212225338,-211.0940446476488
Mozambique,0.01597663269079614,0.013215984374739309,2.8758749021391776,-4.88860019524207,-195.56168564323715,-191.90505816863256
Myanmar,0.010731153817293995,0.009689239136722452,1.6069330213599626,0.5409432598217752,-162.88544964158118,-159.22882216697658
Namibia,0.031000416665060496,0.024143240035201678,3.888845721729537,-8.645691486472876,-210.26352281894214,-206.60689534433754
Nauru,0.0396233465975865,0.03683058330392503,5.389146687703903,-6.332297958828764,-35.23216461981174,-31.57553714520714
Nepal,0.013137453452189907,0.012028284320486669,2.028930447106528,-1.2636620656355335,-214.90356772007578,-211.2469402454712
