Country,Human Development Index (value),Expected Years of Schooling (years),Mean Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Life Expectancy at Birth (years),Cluster
Iceland,0.9126666666666666,17.64469696969697,12.377818181818183,42466.67545454545,80.84348484848485,3
India,0.5414848484848485,9.85209090909091,4.691030303030303,3771.9228787878787,65.0809696969697,0
Indonesia,0.6360303030303031,11.911454545454546,6.596242424242424,7479.447545454545,67.36227272727272,0
Iran (Islamic Republic of),0.7238787878787879,12.856060606060606,8.978757575757575,12821.426303030303,71.52615151515151,1
Iraq,0.597969696969697,9.833757575757575,5.825151515151515,7227.220333333334,66.94918181818181,0
Ireland,0.8714848484848485,16.704939393939394,10.184545454545454,46941.77054545455,78.84451515151515,3
Israel,0.8588181818181818,14.322424242424242,11.679212121212121,31954.210242424244,80.259,3
Italy,0.8574545454545455,15.55290909090909,9.313212121212121,41326.93533333333,80.75384848484849,3
Jamaica,0.6886363636363637,11.92560606060606,8.023636363636363,9455.778393939394,71.71575757575758,1
Japan,0.8921212121212122,14.993757575757575,12.27848484848485,38646.0523030303,82.1409696969697,3
Jordan,0.7024545454545454,12.108515151515151,8.455454545454545,9657.058787878788,73.01733333333334,1
Kazakhstan,0.7343939393939394,13.48760606060606,10.552090909090909,16019.636636363635,66.80315151515151,1
Kenya,0.5308181818181819,9.66330303030303,5.971515151515152,3611.822575757576,58.66639393939394,5
Kiribati,0.41803030303030303,11.073909090909092,5.878939393939394,2724.5473939393937,64.77981818181819,0
Korea (Democratic People's Rep. of),0.0,0.0,0.0,0.0,68.75557575757577,2
Korea (Republic of),0.8524545454545455,15.730060606060606,11.128909090909092,29432.819151515152,78.7289696969697,3
Kuwait,0.790060606060606,12.946181818181818,6.481848484848485,66301.36975757575,77.34221212121213,3
Kyrgyzstan,0.6485757575757576,11.918939393939393,10.700999999999999,3825.348181818182,67.15763636363637,1
Lao People's Democratic Republic,0.5232424242424242,9.006424242424242,4.722090909090909,4200.212030303031,61.72415151515151,5
Latvia,0.7979090909090909,14.87490909090909,11.92830303030303,20154.87112121212,71.61733333333333,1
Lebanon,0.40563636363636363,10.633181818181818,4.553606060606061,14255.218848484848,75.47984848484849,0
Lesotho,0.47939393939393943,10.386757575757574,5.743636363636363,2692.707909090909,50.63133333333334,5
Liberia,0.33336363636363636,7.336969696969697,3.9733333333333336,1235.6244545454545,53.99554545454546,2
Libya,0.7513636363636365,15.430939393939394,6.37,25947.245454545453,71.43884848484848,1
Liechtenstein,0.6384242424242424,10.353636363636364,11.466424242424242,112491.39584848486,80.5270303030303,3
Lithuania,0.807939393939394,15.258090909090908,11.703999999999999,22234.465333333334,72.55315151515151,1
Luxembourg,0.8796363636363635,13.178424242424242,11.471454545454545,84966.17448484848,79.28460606060605,3
Madagascar,0.34754545454545455,8.574454545454545,3.3424545454545456,1500.6264242424243,60.26057575757576,4
Malawi,0.42315151515151517,10.161939393939393,3.8921515151515154,1186.077909090909,52.61830303030303,5
Malaysia,0.7418484848484849,12.269060606060606,8.724818181818181,18409.115696969697,73.83915151515151,1
Maldives,0.5790909090909091,9.977121212121212,4.931181818181818,13773.371272727272,74.13763636363636,0
Mali,0.35139393939393937,5.405363636363637,1.445030303030303,1770.973,53.722848484848484,2
Malta,0.8259090909090909,14.554272727272727,9.373242424242424,29690.620393939393,79.87212121212121,3
Marshall Islands,0.2534545454545455,8.759636363636362,4.387,4824.318333333334,63.52915151515151,4
Mauritania,0.48633333333333334,6.832787878787879,3.532848484848485,4711.475757575758,62.34224242424242,4
Mauritius,0.7213939393939395,12.970333333333334,7.716454545454545,15429.875424242426,72.69630303030303,1
Mexico,0.7294848484848485,12.892727272727273,7.577454545454546,17460.444242424244,73.21212121212122,1
Micronesia (Federated States of),0.4466060606060606,8.940363636363635,5.235515151515151,3793.860393939394,70.22733333333333,0
Moldova (Republic of),0.7026969696969697,12.214181818181817,10.846666666666666,9009.309121212122,67.99193939393939,1
Monaco,0.0,18.1179696969697,0.0,0.0,82.79896969696969,4
Mongolia,0.6572121212121211,11.874060606060606,9.523090909090909,6871.830878787879,65.4870606060606,1
Montenegro,0.489969696969697,9.769272727272728,7.005545454545454,13645.53596969697,75.19166666666666,0
Morocco,0.5752727272727274,10.158515151515152,4.037272727272727,5963.7650303030305,69.0949696969697,0
Mozambique,0.35924242424242425,7.87290909090909,2.3766060606060604,858.1309393939393,52.560878787878785,2
Myanmar,0.47075757575757576,9.163333333333332,3.7676666666666665,2215.4206363636363,61.90339393939394,4
Namibia,0.5895757575757575,11.923787878787879,6.316060606060606,8145.8057272727265,57.254939393939395,5
Nauru,0.33160606060606057,7.010939393939394,4.916454545454545,4710.281272727273,60.60427272727273,4
Nepal,0.5042424242424243,10.195575757575758,3.256787878787879,2532.9482121212122,64.41606060606061,4
Netherlands,0.9042121212121211,17.028333333333332,11.865818181818183,47775.72066666666,79.65596969696969,3
New Zealand,0.9010303030303031,17.880909090909093,12.634242424242425,34386.650151515154,79.70033333333333,3
Nicaragua,0.587939393939394,10.411242424242426,5.680909090909091,4219.756545454546,69.2930606060606,0
Niger,0.30457575757575756,4.105636363636363,1.2448484848484849,1076.9578484848485,53.85421212121212,2
Nigeria,0.3050909090909091,8.330939393939394,3.7703333333333333,3865.5803636363635,49.281333333333336,2
North Macedonia,0.6159090909090909,12.069303030303029,8.183181818181819,10607.890363636363,73.92387878787878,1
Norway,0.9222727272727272,17.06912121212121,12.256484848484849,59016.800848484854,80.18054545454545,3
Oman,0.5486969696969697,11.791545454545455,6.042696969696969,33691.99378787878,74.34930303030303,0
Pakistan,0.4725454545454546,5.692878787878788,3.9635454545454545,3884.2861515151517,63.32175757575757,4
